User ID,Name,Email,Subscription Start Date,Subscription Type,Country,Payment Method
1,Jim Davis,timothyhaas@example.org,1974-07-22,Premium,Gambia,Bank Transfer
2,Darlene Miller,matthew91@example.org,1979-07-24,Standard,Falkland Islands (Malvinas),Bank Transfer
3,Dr. Laurie Smith,sabrina44@example.net,2009-02-21,Standard,Iran,PayPal
4,Jade Carter,abanks@example.com,2019-07-06,Standard,Zimbabwe,PayPal
5,Christopher Rodriguez,cperry@example.org,2015-10-17,Standard,Dominican Republic,PayPal
6,,garrettpaul@example.org,1976-10-19,Standard,Barbados,PayPal
7,Brenda Knight,sreyes@example.net,1995-12-15,Standard,Antarctica (the territory South of 60 deg S),Bank Transfer
8,Mark Arnold,faulknerbecky@example.net,1982-12-12,Premium,Pitcairn Islands,PayPal
9,Joanna Cortez,invalid_email,1994-10-28,Basic,Marshall Islands,Bank Transfer
10,Kaitlin Burns,invalid_email,2007-03-14,Standard,Mauritius,Credit Card
11,Susan Lucero,llam@example.net,1985-05-29,Standard,Saint Lucia,PayPal
12,Jacqueline Garcia,kimberlyneal@example.com,2005-03-13,Standard,Fiji,Bank Transfer
13,Michelle Turner,bpatterson@example.net,1988-03-28,Standard,Azerbaijan,Credit Card
14,Andrew Herrera,colleenedwards@example.org,2012-01-29,Standard,Netherlands Antilles,PayPal
15,Christopher Schroeder,alyssa46@example.com,1978-11-27,Standard,Turkey,PayPal
16,Kelly Marshall,brittanycobb@example.com,2021-07-30,Basic,Tunisia,Bank Transfer
17,Mary Shaw,alexander60@example.com,1997-05-04,Basic,Sweden,Bank Transfer
18,,kelly06@example.net,2000-02-10,Premium,Heard Island and McDonald Islands,Credit Card
19,Rebecca Silva,greenashley@example.net,2019-07-09,Standard,Georgia,Credit Card
20,Luis Knight,michael91@example.com,2024-10-11,Basic,Faroe Islands,Bank Transfer
21,James Aguilar,cynthiasantiago@example.org,1998-05-26,Basic,Northern Mariana Islands,Credit Card
22,Kenneth Bailey,connie22@example.com,1987-08-19,Premium,Chad,Credit Card
23,Alex Taylor,nstewart@example.com,1994-01-03,Standard,India,Credit Card
24,Nichole Odom,markmckenzie@example.org,2000-03-31,Basic,Cocos (Keeling) Islands,PayPal
25,David Castro,hughesmichele@example.org,1993-08-24,Standard,Bhutan,Bank Transfer
26,,rogersnicole@example.com,2019-11-08,Standard,Malawi,Bank Transfer
27,Luis Leonard,terri65@example.org,1993-09-16,Premium,Holy See (Vatican City State),Credit Card
28,Jonathan King,dstrong@example.net,2020-03-07,Basic,Bermuda,PayPal
29,Kevin Wolfe,ortizchristopher@example.net,1983-03-29,Standard,Djibouti,PayPal
30,Jonathan Freeman,thompsondaniel@example.org,1984-12-24,Basic,French Southern Territories,PayPal
31,Diana Soto,joshua50@example.org,1995-01-26,Basic,Guinea-Bissau,Credit Card
32,Jared Howard,amyruiz@example.com,1986-02-06,Premium,North Macedonia,Credit Card
33,Monica Winters,donald79@example.net,1984-09-02,Basic,Marshall Islands,PayPal
34,Allison Adkins,kbell@example.net,2019-02-03,Basic,Gibraltar,PayPal
35,Hannah Murphy,davidrenee@example.org,1978-03-14,Premium,Burkina Faso,PayPal
36,,sotojames@example.org,1990-08-30,Premium,Brunei Darussalam,PayPal
37,Gary Bowman,jerome47@example.com,1972-03-24,Basic,Holy See (Vatican City State),PayPal
38,Meghan Santiago,christopher93@example.org,2016-06-02,Basic,Eritrea,PayPal
39,John Miller,josephmolina@example.org,1977-09-10,Standard,Uzbekistan,Credit Card
40,Nicholas Bond,colleen45@example.org,2003-02-16,Basic,Sri Lanka,PayPal
41,Lacey Lopez,louis55@example.org,1983-05-20,Premium,Svalbard & Jan Mayen Islands,Bank Transfer
42,Clinton Serrano,jacksonamy@example.net,1988-05-20,Standard,France,Bank Transfer
43,Kathy Mccarthy,theresaweaver@example.org,1994-09-26,Standard,China,Credit Card
44,Cindy Perkins,zburnett@example.org,2016-01-05,Standard,Grenada,PayPal
45,Sharon Ritter,invalid_email,1999-12-27,Standard,Botswana,PayPal
46,Miss Catherine Stevens MD,mlawrence@example.net,1996-02-24,Premium,Central African Republic,Bank Transfer
47,Angela Owens,zthomas@example.org,1973-06-23,Standard,Honduras,PayPal
48,Stephanie Rodriguez,williamdavis@example.org,1999-01-18,Premium,Isle of Man,Credit Card
49,Ashley Jarvis,stevenryan@example.org,1971-07-01,Basic,Jordan,Bank Transfer
50,Scott Cooper,zgomez@example.net,1988-07-20,Premium,Brazil,PayPal
51,Joshua Montgomery,watsonthomas@example.org,1978-02-17,Standard,Wallis and Futuna,Credit Card
52,Bradley Mitchell,ericcastillo@example.com,1979-04-10,Standard,Czech Republic,PayPal
53,,youngjennifer@example.com,1997-03-02,Basic,Bouvet Island (Bouvetoya),PayPal
54,Robin Harrington,sarah23@example.com,2004-10-19,Premium,Reunion,Bank Transfer
55,Cheryl Molina,ronald67@example.com,2018-03-27,Basic,Cambodia,PayPal
56,,heather38@example.net,1979-06-20,Premium,Mayotte,Credit Card
57,,xbutler@example.org,2006-10-07,Basic,Hungary,Bank Transfer
58,Amanda Miller,bsantiago@example.org,1997-03-08,Basic,Malaysia,Credit Card
59,Candice Palmer,brittney61@example.net,2012-05-05,Standard,India,PayPal
60,Lauren Ferguson,richardsondaniel@example.net,2001-03-08,Premium,Anguilla,Bank Transfer
61,Bruce Stephens,zhall@example.net,2004-12-31,Premium,Haiti,Credit Card
62,Abigail Campbell,wolfecathy@example.com,2022-06-16,Basic,Argentina,Bank Transfer
63,Nicole Little,davidrivera@example.net,2002-01-03,Basic,Christmas Island,Bank Transfer
64,Rhonda Rocha,invalid_email,1972-03-06,Standard,Cook Islands,Credit Card
65,Cody Eaton,mhaynes@example.org,1982-12-20,Standard,Tonga,PayPal
66,,hpark@example.org,1973-01-31,Premium,Italy,Credit Card
67,Maurice Lee,levipeterson@example.net,1996-09-29,Premium,Angola,PayPal
68,Brenda Gross,katrina96@example.net,1993-09-26,Basic,Guinea,Credit Card
69,Diane Green,stephensjoshua@example.org,2017-06-07,Basic,Jamaica,Bank Transfer
70,Megan Campbell,jessewilson@example.org,1994-06-24,Premium,Bosnia and Herzegovina,Credit Card
71,Jeremy Hall,christopherwilliamson@example.net,1982-02-13,Standard,Ukraine,Credit Card
72,Greg Hall,amanda91@example.net,1978-06-08,Basic,Wallis and Futuna,Credit Card
73,Sara Lee,troy32@example.org,2015-10-31,Standard,Heard Island and McDonald Islands,Credit Card
74,Sharon Hughes,aliciamcdonald@example.org,2017-11-03,Standard,Korea,Bank Transfer
75,Amber Ball,ireeves@example.net,1997-01-03,Premium,San Marino,Credit Card
76,Colleen Pratt,michellewarren@example.org,1978-06-23,Premium,France,PayPal
77,,ryansmith@example.org,1998-03-25,Basic,Cambodia,Credit Card
78,Tina Brown,shirleygonzalez@example.org,1981-07-28,Premium,Somalia,PayPal
79,Christine Campbell,invalid_email,2002-08-19,Basic,Yemen,Bank Transfer
80,George Francis,wandaramos@example.com,1974-03-09,Basic,Trinidad and Tobago,Credit Card
81,Shirley Miller,courtneywillis@example.org,2024-03-02,Standard,Norfolk Island,Credit Card
82,Martin Kline,invalid_email,2017-03-31,Premium,Svalbard & Jan Mayen Islands,PayPal
83,Tracey Schmidt,carlajackson@example.com,1996-12-18,Standard,Kuwait,Bank Transfer
84,David Bell,invalid_email,2012-10-05,Standard,El Salvador,Bank Transfer
85,Caleb Jensen,ehernandez@example.org,2015-05-26,Standard,Denmark,Bank Transfer
86,Joseph Eaton,ltaylor@example.net,1977-07-07,Premium,Mauritania,PayPal
87,Jennifer Charles,graveskathy@example.org,1989-06-28,Premium,South Georgia and the South Sandwich Islands,PayPal
88,Amanda Griffin,ehill@example.org,1989-07-07,Basic,Bouvet Island (Bouvetoya),Bank Transfer
89,Joseph Valdez,sullivanamy@example.com,1980-04-29,Basic,Suriname,Credit Card
90,John Nguyen,cmiller@example.org,1989-03-21,Premium,Barbados,PayPal
91,Jacqueline Parker,rstevens@example.net,1983-08-19,Basic,Lao People's Democratic Republic,PayPal
92,Denise Duncan,irobinson@example.net,1980-06-03,Basic,Suriname,Credit Card
93,,yhoffman@example.org,2000-12-15,Basic,Niue,Credit Card
94,Matthew Smith,zbrown@example.org,2008-06-03,Standard,Montenegro,Bank Transfer
95,Dylan Gray DDS,stephen71@example.net,1971-07-05,Basic,Equatorial Guinea,Bank Transfer
96,Laura King,invalid_email,2023-08-20,Basic,Bouvet Island (Bouvetoya),PayPal
97,Brian Cobb,billyerickson@example.net,1987-02-19,Basic,Djibouti,Bank Transfer
98,Michael Young,dnguyen@example.com,2012-08-23,Premium,Solomon Islands,Credit Card
99,Diana Donovan,philip27@example.org,1971-01-11,Premium,Sao Tome and Principe,Credit Card
100,William Huang,destiny48@example.net,2013-09-13,Premium,Bermuda,Credit Card
101,Kimberly Dillon,jonathanconley@example.com,2016-06-24,Standard,Kazakhstan,Credit Card
102,Taylor Riley,smithmanuel@example.org,1985-09-13,Basic,Portugal,PayPal
103,Jonathan Smith,mfrazier@example.org,1980-11-20,Standard,Andorra,Credit Card
104,Melissa Marshall,santiagodouglas@example.com,1975-02-02,Basic,Isle of Man,Bank Transfer
105,Mark Hall,jenniferwhitehead@example.org,1979-11-30,Basic,Anguilla,PayPal
106,Michael Ferguson,bfoster@example.org,2001-01-09,Standard,Monaco,PayPal
107,Michael Gomez,schultzalyssa@example.org,1980-07-26,Basic,Bahamas,PayPal
108,James Hobbs,gary92@example.com,1974-11-02,Standard,Antigua and Barbuda,PayPal
109,Allen Ramsey MD,gmiller@example.com,1974-11-17,Premium,Monaco,Bank Transfer
110,Preston Williams,mcopeland@example.net,1990-11-01,Standard,Namibia,PayPal
111,Joy Clark,brianwilliams@example.org,1993-09-09,Basic,Central African Republic,Credit Card
112,Jennifer Nolan,fieldsedward@example.net,2024-01-11,Basic,Singapore,Credit Card
113,John Lopez,melaniekelley@example.com,1972-07-24,Premium,Belarus,Credit Card
114,Brandon Johnson,david15@example.com,2014-11-15,Standard,Fiji,Credit Card
115,Shawn Rice,hoffmantonya@example.net,1988-01-08,Premium,Aruba,PayPal
116,Jessica Morgan,james20@example.org,1976-08-14,Standard,Gabon,Credit Card
117,Andrea Barr,dhill@example.net,1994-05-07,Premium,Poland,PayPal
118,,tonya27@example.net,2000-12-23,Premium,Malawi,Bank Transfer
119,Ryan White,jordankristen@example.com,2013-03-17,Premium,Macao,Credit Card
120,Daniel Mathews,jessicaturner@example.org,1974-03-25,Premium,Pakistan,Credit Card
